Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,491.76,393.408,457.33680000000004,40791.492
Bank of America,266.45,213.16,247.7985,22102.0275
Industrial and Commercial Bank of China,219.45,175.56,204.0885,18203.3775
Wells Fargo,178.74,142.99200000000002,166.22820000000002,14826.483000000002
Agricultural Bank of China,175.69,140.552,163.39170000000001,14573.4855
HDFC Bank,169.84,135.872,157.9512,14088.228000000001
HSBC Holdings PLC,156.13,124.904,145.2009,12950.9835
Morgan Stanley,153.05,122.44000000000001,142.33650000000003,12695.497500000001
China Construction Bank,151.97,121.57600000000001,141.3321,12605.9115
Bank of China,150.39,120.312,139.8627,12474.850499999999
